Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,TE Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Tempo médio de contato com o solo,Saldo de tempo médio de contato com o solo,GAP médio,Normalized Power® (NP®),Training Stress Score®,Potência média,Energia máxima,Passos,Descarrregamento da Body Battery,Temp mínima,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Resposta média,Resposta mínima,Resposta máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2026-04-04 06:43:09,false,São Paulo - Treino 18k,"17,01",1408,01:48:20,152,166,"4,5",166,174,6:22,4:19,50,52,"0,95","10,5","10,1",265,"51,4% E / 48,6% D",6:23,358,0,356,535,17760,-25,23,Não,"00:02:11,2",18,28,35,14,44,01:48:12,02:03:57,745,762
Corrida,2026-04-02 06:36:53,false,Taboão da Serra Corrida,"8,01",661,00:52:15,145,156,"3,3",163,166,6:32,5:13,13,11,"0,94",11,"10,5",266,"50,3% E / 49,7% D",6:33,354,0,353,432,8414,-14,23,Não,"00:00:02,1",9,30,33,20,40,00:52:12,00:53:45,761,766
Corrida em esteira,2026-03-31 08:09:58,false,Corrida em esteira,"7,38",583,00:50:00,139,165,"3,1",161,170,6:47,4:56,--,--,"0,92",11,"10,2",278,"51,2% E / 48,8% D",--,343,0,335,449,7950,-11,--,Não,"00:02:39,3",8,--,30,16,44,00:49:39,00:50:00,--,--
