Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,TE Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Tempo médio de contato com o solo,Saldo de tempo médio de contato com o solo,GAP médio,Normalized Power® (NP®),Training Stress Score®,Potência média,Energia máxima,Passos,Descarrregamento da Body Battery,Temp mínima,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Resposta média,Resposta mínima,Resposta máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2026-04-20 07:12:42,false,São José do Rio Preto Corrida,"7,02",582,00:43:23,148,175,"3,7",166,228,6:11,4:27,20,22,"0,97","8,9","8,6",275,--,6:12,334,0,332,461,7152,-10,24,Não,"00:00:06,5",8,29,--,--,--,00:43:19,00:44:56,476,485
Corrida,2026-04-18 06:08:29,false,São José do Rio Preto - Treino 15k,"15,01",1261,01:36:21,149,174,"4,3",163,176,6:25,5:00,51,43,"0,95","9,1","8,6",280,--,6:25,324,0,321,475,15700,-20,22,Não,"00:00:44,9",17,29,--,--,--,01:36:09,01:48:39,476,488
Corrida,2026-04-16 06:49:50,false,Taboão da Serra - Treino Tempo Run 10k,"6,04",493,00:36:28,145,163,"3,3",164,173,6:02,4:43,14,3,"1,01","10,4","10,7",257,"50,7% E / 49,3% D",6:01,376,0,377,474,5920,-9,21,Não,"00:02:41,5",7,29,34,17,44,00:36:25,00:53:25,761,768
